iter	Passed	Remaining
0	63	63014
1	63	31786
2	64	21353
3	64	16115
4	65	12951
5	65	10840
6	66	9367
7	66	8242
8	66	7359
9	67	6650
10	67	6074
11	68	5657
12	69	5250
13	69	4911
14	70	4610
15	70	4354
16	71	4124
17	71	3925
18	72	3741
19	72	3571
20	73	3415
21	73	3276
22	74	3147
23	74	3033
24	75	2937
25	75	2839
26	76	2747
27	76	2666
28	77	2585
29	77	2515
30	78	2442
31	78	2372
32	78	2308
33	79	2250
34	79	2193
35	80	2143
36	80	2092
37	80	2042
38	81	1998
39	81	1955
40	81	1913
41	82	1873
42	82	1839
43	82	1803
44	83	1767
45	83	1734
46	84	1704
47	84	1676
48	84	1647
49	85	1619
50	86	1605
51	86	1579
52	86	1553
53	87	1532
54	87	1511
55	88	1490
56	88	1469
57	89	1448
58	89	1428
59	90	1411
60	90	1391
61	90	1375
62	91	1359
63	91	1341
64	92	1325
65	92	1308
66	92	1293
67	93	1276
68	93	1262
69	93	1248
70	94	1234
71	94	1221
72	95	1207
73	95	1195
74	95	1183
75	96	1173
76	97	1163
77	97	1155
78	98	1145
79	98	1133
80	98	1123
81	99	1114
82	99	1104
83	100	1095
84	100	1083
85	101	1073
86	101	1063
87	101	1053
88	102	1047
89	102	1040
90	103	1031
91	104	1030
92	104	1021
93	105	1015
94	105	1007
95	106	1001
96	106	993
97	107	987
98	107	981
99	108	975
100	108	970
101	109	961
102	109	954
103	109	946
104	110	940
105	110	934
106	111	930
107	111	923
108	112	918
109	112	912
110	113	907
111	113	901
112	114	897
113	114	891
114	115	886
115	115	879
116	115	874
117	116	868
118	116	862
119	116	856
120	117	851
121	117	846
122	117	840
123	118	835
124	118	831
125	119	826
126	119	822
127	119	816
128	120	812
129	120	808
130	121	808
131	122	803
132	122	800
133	123	796
134	123	792
135	123	787
136	124	783
137	124	779
138	125	775
139	125	771
140	126	768
141	126	764
142	126	760
143	127	757
144	127	753
145	128	750
146	128	747
147	129	744
148	129	740
149	130	736
150	130	733
151	130	729
152	131	726
153	131	723
154	132	719
155	132	716
156	132	713
157	133	711
158	134	708
159	134	705
160	134	701
161	135	698
162	135	695
163	136	693
164	136	691
165	137	688
166	137	686
167	137	683
168	138	680
169	139	680
170	139	677
171	140	674
172	140	671
173	140	667
174	140	664
175	141	662
176	141	659
177	142	656
178	142	653
179	142	650
180	143	647
181	143	646
182	144	644
183	144	641
184	145	639
185	145	637
186	146	635
187	146	633
188	147	630
189	148	631
190	148	628
191	148	626
192	149	624
193	149	622
194	150	620
195	150	617
196	151	615
197	151	613
198	151	611
199	152	608
200	152	606
201	153	605
202	153	604
203	154	602
204	154	600
205	155	598
206	155	597
207	156	594
208	156	592
209	157	591
210	157	589
211	158	587
212	158	584
213	158	583
214	159	581
215	159	579
216	160	577
217	161	578
218	161	576
219	162	574
220	162	573
221	163	571
222	163	570
223	164	568
224	164	566
225	164	564
226	165	562
227	165	561
228	166	559
229	166	557
230	167	555
231	167	554
232	167	552
233	168	551
234	168	549
235	169	548
236	169	546
237	170	544
238	170	543
239	170	541
240	171	539
241	171	537
242	172	536
243	172	534
244	173	533
245	173	531
246	173	529
247	174	528
248	174	526
249	174	524
250	175	523
251	175	521
252	176	520
253	176	518
254	177	517
255	177	515
256	177	514
257	178	512
258	178	510
259	179	509
260	179	508
261	179	506
262	180	505
263	180	503
264	181	502
265	181	500
266	182	499
267	182	498
268	182	496
269	183	495
270	183	493
271	183	492
272	184	490
273	184	490
274	185	488
275	185	487
276	186	486
277	186	485
278	187	483
279	187	482
280	187	480
281	188	479
282	188	478
283	189	477
284	189	475
285	189	474
286	190	472
287	190	471
288	191	470
289	191	468
290	191	467
291	192	466
292	192	465
293	193	463
294	193	462
295	193	461
296	194	460
297	194	458
298	195	457
299	195	456
300	195	454
301	196	453
302	196	452
303	197	451
304	197	450
305	198	449
306	198	448
307	198	446
308	199	445
309	199	444
310	200	443
311	200	442
312	201	441
313	201	440
314	202	439
315	202	438
316	203	437
317	203	436
318	204	435
319	204	435
320	205	434
321	205	432
322	205	431
323	206	430
324	206	429
325	207	428
326	207	427
327	208	426
328	208	425
329	209	424
330	209	423
331	210	422
332	210	421
333	211	420
334	211	420
335	212	419
336	212	418
337	212	416
338	213	415
339	213	415
340	214	414
341	214	413
342	215	412
343	215	411
344	216	410
345	216	409
346	217	408
347	217	407
348	218	406
349	218	405
350	218	404
351	219	403
352	219	402
353	220	401
354	220	400
355	221	399
356	221	399
357	222	398
358	222	397
359	223	396
360	223	395
361	223	394
362	224	393
363	224	392
364	225	391
365	225	391
366	226	390
367	226	389
368	227	388
369	227	387
370	227	386
371	228	385
372	228	384
373	229	383
374	229	382
375	229	381
376	230	380
377	230	379
378	231	378
379	231	377
380	231	376
381	232	375
382	232	375
383	233	374
384	233	373
385	234	373
386	235	372
387	235	371
388	235	370
389	236	369
390	236	368
391	236	367
392	237	366
393	237	365
394	238	364
395	238	364
396	239	363
397	239	362
398	239	361
399	240	360
400	240	359
401	241	358
402	241	357
403	241	356
404	242	355
405	242	355
406	243	354
407	243	353
408	244	352
409	244	351
410	244	351
411	245	350
412	246	349
413	246	348
414	246	347
415	247	346
416	247	346
417	248	345
418	248	344
419	249	343
420	249	343
421	250	342
422	250	341
423	251	341
424	251	340
425	252	339
426	252	339
427	253	338
428	253	337
429	254	336
430	254	336
431	255	335
432	255	334
433	256	334
434	256	333
435	256	332
436	257	331
437	257	330
438	258	330
439	258	329
440	259	328
441	259	327
442	260	327
443	260	326
444	261	325
445	261	324
446	262	324
447	262	323
448	262	322
449	263	321
450	263	321
451	264	320
452	264	319
453	265	318
454	265	318
455	266	317
456	266	316
457	266	315
458	267	315
459	267	314
460	267	313
461	268	312
462	268	311
463	269	310
464	269	310
465	269	309
466	270	308
467	270	308
468	271	307
469	271	306
470	272	305
471	272	304
472	272	304
473	273	303
474	273	302
475	274	301
476	274	301
477	275	300
478	275	299
479	275	298
480	276	298
481	276	297
482	277	296
483	277	295
484	278	295
485	278	294
486	278	293
487	279	293
488	280	292
489	280	291
490	280	291
491	281	290
492	281	289
493	282	289
494	282	288
495	283	287
496	283	287
497	283	286
498	284	285
499	284	284
500	285	284
501	285	283
502	285	282
503	286	281
504	287	281
505	287	280
506	288	280
507	288	279
508	289	278
509	289	278
510	290	277
511	290	277
512	291	276
513	291	275
514	292	275
515	292	274
516	292	273
517	293	273
518	293	272
519	294	271
520	294	270
521	295	270
522	295	269
523	296	269
524	296	268
525	297	267
526	297	267
527	299	267
528	299	266
529	300	266
530	300	265
531	301	265
532	301	264
533	302	263
534	302	263
535	302	262
536	303	261
537	303	260
538	304	260
539	304	259
540	305	258
541	305	258
542	305	257
543	306	256
544	306	255
545	306	255
546	307	254
547	307	253
548	307	252
549	308	252
550	308	251
551	309	251
552	310	251
553	311	250
554	311	249
555	312	249
556	312	248
557	312	247
558	313	247
559	313	246
560	314	245
561	314	245
562	314	244
563	315	243
564	315	243
565	316	242
566	316	242
567	317	241
568	317	240
569	318	240
570	318	239
571	319	238
572	319	238
573	320	237
574	320	237
575	321	236
576	321	235
577	321	235
578	322	234
579	322	233
580	323	233
581	323	232
582	323	231
583	324	231
584	324	230
585	325	229
586	325	229
587	326	228
588	326	227
589	326	227
590	327	226
591	328	226
592	328	225
593	329	224
594	329	224
595	329	223
596	330	222
597	330	222
598	331	221
599	331	221
600	331	220
601	332	219
602	332	219
603	333	218
604	333	217
605	333	217
606	334	216
607	334	215
608	335	215
609	335	214
610	336	213
611	336	213
612	336	212
613	337	211
614	337	211
615	337	210
616	338	210
617	338	209
618	339	208
619	339	208
620	339	207
621	340	206
622	340	206
623	340	205
624	341	204
625	341	204
626	342	203
627	342	203
628	343	202
629	343	201
630	343	201
631	344	200
632	344	199
633	345	199
634	345	198
635	345	198
636	346	197
637	346	196
638	347	196
639	347	195
640	347	194
641	348	194
642	348	193
643	349	193
644	349	192
645	350	191
646	350	191
647	351	190
648	351	190
649	351	189
650	352	188
651	352	188
652	353	187
653	353	187
654	354	186
655	355	186
656	355	185
657	356	185
658	357	184
659	357	184
660	357	183
661	358	182
662	358	182
663	359	181
664	359	181
665	359	180
666	360	179
667	360	179
668	361	178
669	361	178
670	361	177
671	362	176
672	363	176
673	363	175
674	363	175
675	364	174
676	364	174
677	365	173
678	365	172
679	366	172
680	366	171
681	366	171
682	367	170
683	367	169
684	368	169
685	368	168
686	368	168
687	369	167
688	369	166
689	370	166
690	370	165
691	370	165
692	371	164
693	371	163
694	372	163
695	372	162
696	372	162
697	373	161
698	373	160
699	374	160
700	374	159
701	374	159
702	375	158
703	375	157
704	376	157
705	376	156
706	376	156
707	377	155
708	377	155
709	378	154
710	378	153
711	379	153
712	379	152
713	379	152
714	380	151
715	380	150
716	380	150
717	381	149
718	381	149
719	382	148
720	382	148
721	382	147
722	383	146
723	383	146
724	384	145
725	384	145
726	384	144
727	385	143
728	385	143
729	386	142
730	386	142
731	387	141
732	387	141
733	387	140
734	388	139
735	388	139
736	389	138
737	389	138
738	389	137
739	390	137
740	390	136
741	391	135
742	391	135
743	391	134
744	392	134
745	392	133
746	393	133
747	393	132
748	394	132
749	394	131
750	394	130
751	395	130
752	395	129
753	396	129
754	396	128
755	397	128
756	397	127
757	397	127
758	398	126
759	398	125
760	399	125
761	399	124
762	400	124
763	400	123
764	401	123
765	401	122
766	402	122
767	402	121
768	403	121
769	403	120
770	404	120
771	404	119
772	405	119
773	405	118
774	406	117
775	406	117
776	407	116
777	407	116
778	407	115
779	408	115
780	408	114
781	409	114
782	409	113
783	410	112
784	410	112
785	410	111
786	411	111
787	411	110
788	412	110
789	412	109
790	413	109
791	413	108
792	414	108
793	414	107
794	414	107
795	415	106
796	415	105
797	416	105
798	416	104
799	416	104
800	417	103
801	417	103
802	418	102
803	418	102
804	418	101
805	419	100
806	419	100
807	420	99
808	420	99
809	421	98
810	421	98
811	422	97
812	422	97
813	423	96
814	423	96
815	424	95
816	424	95
817	424	94
818	425	94
819	425	93
820	426	92
821	426	92
822	427	91
823	427	91
824	428	90
825	428	90
826	429	89
827	429	89
828	430	88
829	430	88
830	431	87
831	431	87
832	432	86
833	432	86
834	433	85
835	433	85
836	434	84
837	434	84
838	435	83
839	435	83
840	436	82
841	437	82
842	437	81
843	438	81
844	438	80
845	439	79
846	439	79
847	440	78
848	440	78
849	441	77
850	442	77
851	442	76
852	442	76
853	443	75
854	443	75
855	444	74
856	444	74
857	445	73
858	445	73
859	446	72
860	446	72
861	447	71
862	447	71
863	448	70
864	448	70
865	449	69
866	449	69
867	450	68
868	450	67
869	450	67
870	451	66
871	451	66
872	452	65
873	452	65
874	453	64
875	453	64
876	454	63
877	454	63
878	455	62
879	455	62
880	456	61
881	456	61
882	457	60
883	457	60
884	458	59
885	458	59
886	459	58
887	460	58
888	460	57
889	461	56
890	461	56
891	461	55
892	462	55
893	463	54
894	463	54
895	464	53
896	464	53
897	465	52
898	466	52
899	466	51
